date,weekday,category,detail,reason
2016-03-07,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-03-24,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-03-25,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-04-14,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-04-15,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-04-19,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-07-06,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-08-15,Monday,FIXED_HOLIDAY,Independence Day,
2016-09-05,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-09-13,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-10-11,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-10-12,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-10-31,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2016-11-14,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2017-01-26,Thursday,FIXED_HOLIDAY,Republic Day,
2017-02-24,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2017-03-13,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2017-04-04,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2017-04-14,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2017-05-01,Monday,FIXED_HOLIDAY,Maharashtra Day,
2017-06-26,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2017-08-15,Tuesday,FIXED_HOLIDAY,Independence Day,
2017-08-25,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2017-10-02,Monday,FIXED_HOLIDAY,Gandhi Jayanti,
2017-10-20,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2017-12-25,Monday,FIXED_HOLIDAY,Christmas,
2018-01-26,Friday,FIXED_HOLIDAY,Republic Day,
2018-02-13,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2018-03-02,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2018-03-29,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2018-03-30,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2018-05-01,Tuesday,FIXED_HOLIDAY,Maharashtra Day,
2018-08-15,Wednesday,FIXED_HOLIDAY,Independence Day,
2018-08-22,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2018-09-13,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2018-09-20,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2018-10-02,Tuesday,FIXED_HOLIDAY,Gandhi Jayanti,
2018-10-18,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2018-11-08,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2018-11-23,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2018-12-25,Tuesday,FIXED_HOLIDAY,Christmas,
2019-03-04,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2019-03-21,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2019-04-17,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2019-04-19,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2019-04-29,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2019-05-01,Wednesday,FIXED_HOLIDAY,Maharashtra Day,
2019-06-05,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2019-08-12,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2019-08-15,Thursday,FIXED_HOLIDAY,Independence Day,
2019-09-02,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2019-09-10,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2019-10-02,Wednesday,FIXED_HOLIDAY,Gandhi Jayanti,
2019-10-08,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2019-10-21,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2019-10-28,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2019-11-12,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2019-12-25,Wednesday,FIXED_HOLIDAY,Christmas,
2020-02-21,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2020-03-10,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2020-04-02,Thursday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2020-04-06,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2020-04-10,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2020-04-14,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2020-05-01,Friday,FIXED_HOLIDAY,Maharashtra Day,
2020-05-25,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2020-10-02,Friday,FIXED_HOLIDAY,Gandhi Jayanti,
2020-11-16,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2020-11-30,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2020-12-25,Friday,FIXED_HOLIDAY,Christmas,
2021-01-26,Tuesday,FIXED_HOLIDAY,Republic Day,
2021-03-11,Thursday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2021-03-29,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2021-04-02,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2021-04-14,Wednesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2021-04-21,Wednesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2021-05-13,Thursday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2021-07-21,Wednesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2021-08-19,Thursday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2021-09-10,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2021-10-15,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2021-11-05,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2021-11-19,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2022-01-26,Wednesday,FIXED_HOLIDAY,Republic Day,
2022-03-01,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2022-03-18,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2022-04-14,Thursday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2022-04-15,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2022-05-03,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2022-08-09,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2022-08-15,Monday,FIXED_HOLIDAY,Independence Day,
